word,Joy_Score
delighted,0.9999982714653015
enjoyed,0.9999980330467224
🙂,0.9999979138374329
Enjoy,0.9999954104423523
enjoying,0.9999939799308777
enjoyable,0.9999938011169434
enjoy,0.9999934434890747
Congratulations,0.9999925494194031
fun,0.9999909400939941
Fun,0.9999891519546509
Cheers,0.9999854564666748
delightful,0.9999845027923584
Awesome,0.9999844431877136
colorful,0.9999831318855286
Glad,0.9999784231185913
Happy,0.9999747276306152
playful,0.9999701380729675
Fantastic,0.9999693036079407
exciting,0.9999691247940063
tasty,0.9999668002128601
pleased,0.9999663829803467
lively,0.9999645352363586
fantastic,0.9999637007713318
awesome,0.9999628067016602
glad,0.9999557733535767
delight,0.9999456405639648
Excellent,0.9999451041221619
thrilled,0.9999447464942932
delicious,0.9999446868896484
Wonderful,0.9999445080757141
enjoys,0.9999385476112366
fabulous,0.9999379515647888
Cool,0.9999351501464844
wonderful,0.99993497133255
excited,0.9999344944953918
happy,0.9999340176582336
versatile,0.9999257326126099
😉,0.9999250769615173
terrific,0.9999221563339233
compliment,0.9999207258224487
flavors,0.9999203681945801
entertaining,0.9999104142189026
Great,0.9999094605445862
yummy,0.9999059438705444
liked,0.9999023079872131
neat,0.9998936057090759
welcome,0.9998876452445984
Nice,0.9998806715011597
goodies,0.9998796582221985
energetic,0.999875545501709
