word,Joy_Score
enjoyed,0.9999998807907104
Enjoy,0.9999998807907104
🙂,0.9999998211860657
delighted,0.9999997615814209
Fun,0.9999997615814209
enjoying,0.9999997019767761
Glad,0.9999995827674866
enjoy,0.9999995231628418
enjoyable,0.9999995231628418
Happy,0.9999994039535522
lively,0.9999994039535522
glad,0.9999993443489075
colorful,0.9999992847442627
Awesome,0.9999992251396179
playful,0.9999990463256836
fun,0.999998927116394
Excellent,0.9999983906745911
delightful,0.9999980330467224
Fantastic,0.9999977350234985
Congratulations,0.9999975562095642
Great,0.9999974370002747
energetic,0.9999971985816956
pleased,0.9999970197677612
versatile,0.9999964833259583
Wonderful,0.9999964833259583
Cheers,0.9999964237213135
enjoys,0.9999960064888
Cool,0.9999949932098389
awesome,0.9999945759773254
exciting,0.9999945759773254
flavors,0.9999945163726807
terrific,0.9999935030937195
celebrates,0.9999932050704956
additions,0.9999927282333374
vibrant,0.9999924898147583
fantastic,0.9999920725822449
relaxed,0.9999919533729553
tunes,0.9999915957450867
tasty,0.9999914765357971
incorporated,0.9999911785125732
entertaining,0.9999905228614807
informative,0.9999903440475464
goodies,0.9999901056289673
complimentary,0.9999901056289673
thrilled,0.9999898672103882
happy,0.9999895691871643
excited,0.9999889135360718
Nice,0.9999884963035583
delight,0.9999884366989136
knowledgeable,0.9999881982803345
